小区名,价格/万,地区,0,房屋户型,1,所在楼层,2,建筑面积,3,户型结构,4,套内面积,5,建筑类型,6,房屋朝向,7,建筑结构,8,装修情况,9,梯户比例,10,配备电梯,,,,,,,,,,,,,
三好名苑,410,['香洲区'],,3室2厅1厨2卫,,中楼层(共12层),,125.43㎡,,平层,,暂无数据,,板楼,,南北,,砖混结构,,精装,,一梯四户,,有,,,,,,,,,,,,,
中珠上郡四期,88,['金湾区'],,3室1厅1厨1卫,,中楼层(共18层),,85.59㎡,,平层,,暂无数据,,板塔结合,,南,,钢混结构,,其他,,两梯四户,,有,,,,,,,,,,,,,
金桦城市花园,280,['香洲区'],,3室2厅1厨2卫,,中楼层(共7层),,109㎡,,平层,,暂无数据,,塔楼,,南,,钢混结构,,精装,,暂无数据,,无,,,,,,,,,,,,,
山海一品海岸花园,98,['金湾区'],,2室2厅1厨1卫,,中楼层(共32层),,74.83㎡,,平层,,74.83㎡,,塔楼,,东,,钢混结构,,其他,,两梯四户,,有,,,,,,,,,,,,,
美湖湾,125,['斗门区'],,3室2厅1厨2卫,,中楼层(共28层),,89.35㎡,,平层,,67.39㎡,,板塔结合,,东南,,钢混结构,,其他,,两梯四户,,有,,,,,,,,,,,,,
德昌盛景花园,79,['斗门区'],,2室2厅1厨1卫,,低楼层(共26层),,78.14㎡,,平层,,61.09㎡,,板塔结合,,南北,,钢混结构,,精装,,两梯五户,,有,,,,,,,,,,,,,
珠光新城一期,228,['斗门区'],,3室2厅1厨3卫,,中楼层(共5层),,169.63㎡,,复式,,155.02㎡,,板楼,,南,,钢混结构,,精装,,暂无数据,,无,,,,,,,,,,,,,
华发四季半岛翡翠湾,267,['香洲区'],,3室2厅1厨2卫,,低楼层(共32层),,102.85㎡,,平层,,79.44㎡,,塔楼,,南,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
万科金域缇香,225,['香洲区'],,3室2厅1厨1卫,,中楼层(共32层),,88.64㎡,,平层,,暂无数据,,板楼,,西南,,钢混结构,,简装,,两梯四户,,有,,,,,,,,,,,,,
钰海上峰,208,['香洲区'],,2室2厅1厨1卫,,低楼层(共29层),,85.84㎡,,平层,,暂无数据,,塔楼,,东南南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
时代倾城水岸雅苑,90,['斗门区'],,3室2厅1厨2卫,,高楼层(共24层),,95.87㎡,,平层,,74.21㎡,,塔楼,,东南,,钢混结构,,精装,,暂无数据,,暂无数据,,,,,,,,,,,,,
平沙九号广场,106,['金湾区'],,3室2厅1厨2卫,,高楼层(共26层),,97.93㎡,,平层,,76.55㎡,,塔楼,,南,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
荔枝湾花园(南区),175,['横琴区'],,1室1厅1厨1卫,,低楼层(共19层),,38.7㎡,,平层,,29.25㎡,,塔楼,,东南,,钢混结构,,精装,,两梯十八户,,有,,,,,,,,,,,,,
时代都荟大境,86,['斗门区'],,3室2厅1厨2卫,,中楼层(共32层),,88.11㎡,,平层,,暂无数据,,塔楼,,东南南,,钢混结构,,其他,,三梯六户,,有,,,,,,,,,,,,,
保利香槟国际花园,136,['金湾区'],,3室2厅1厨1卫,,高楼层(共36层),,93.58㎡,,平层,,暂无数据,,塔楼,,西北,,钢混结构,,其他,,两梯五户,,有,,,,,,,,,,,,,
华发未来荟,90.5,['香洲区'],,1室1厅1厨1卫,,中楼层(共38层),,47.3㎡,,平层,,暂无数据,,板塔结合,,西北,,钢混结构,,简装,,四梯十四户,,有,,,,,,,,,,,,,
华发未来荟,99,['香洲区'],,1室1厅1厨1卫,,高楼层(共37层),,47.23㎡,,平层,,32.29㎡,,板塔结合,,西南,,钢混结构,,精装,,四梯十四户,,有,,,,,,,,,,,,,
双城国际,130,['香洲区'],,2室1厅1厨1卫,,中楼层(共26层),,50.44㎡,,平层,,38.26㎡,,板楼,,南北,,钢混结构,,简装,,两梯十七户,,有,,,,,,,,,,,,,
锦绣荣城,75,['斗门区'],,2室2厅1厨1卫,,中楼层(共11层),,86.21㎡,,平层,,71.01㎡,,板塔结合,,东北,,钢混结构,,简装,,两梯四户,,有,,,,,,,,,,,,,
绿景玺悦湾,510,['香洲区'],,4室2厅2厨2卫,,低楼层(共32层),,141㎡,,平层,,暂无数据,,暂无数据,,东南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
华策南湾国际,330,['香洲区'],,3室2厅1厨2卫,,高楼层(共32层),,133.9㎡,,平层,,108.08㎡,,板塔结合,,南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
中信红树湾北区,265,['香洲区'],,4室2厅1厨2卫,,低楼层(共32层),,88.52㎡,,复式,,暂无数据,,板楼,,西南,,钢混结构,,其他,,三梯十三户,,有,,,,,,,,,,,,,
华发新城六期,250,['香洲区'],,3室2厅1厨2卫,,中楼层(共31层),,88.17㎡,,平层,,暂无数据,,板塔结合,,南,,钢混结构,,简装,,两梯六户,,有,,,,,,,,,,,,,
龙山里东,33,['斗门区'],,2室2厅1厨1卫,,中楼层(共8层),,79.98㎡,,平层,,暂无数据,,暂无数据,,南,,钢混结构,,简装,,暂无数据,,暂无数据,,,,,,,,,,,,,
华发新城六期,650,['香洲区'],,5室2厅1厨3卫,,低楼层(共17层),,195.13㎡,,平层,,暂无数据,,板塔结合,,南北,,钢混结构,,精装,,一梯两户,,有,,,,,,,,,,,,,
万科城市花园,110,['金湾区'],,3室2厅1厨1卫,,高楼层(共33层),,87.89㎡,,平层,,67.5㎡,,塔楼,,南,,混合结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
中珠上郡二三期,70,['金湾区'],,2室1厅1厨1卫,,低楼层(共18层),,74.7㎡,,平层,,55.93㎡,,板塔结合,,东南,,钢混结构,,简装,,两梯四户,,有,,,,,,,,,,,,,
新世界康桥,106,['金湾区'],,3室2厅1厨1卫,,低楼层(共18层),,93㎡,,平层,,暂无数据,,板塔结合,,南北,,框架结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
珠海碧桂园珑悦（愉翠龙湖花园）,135,['金湾区'],,3室2厅1厨2卫,,低楼层(共17层),,93.46㎡,,平层,,暂无数据,,塔楼,,南,,钢混结构,,其他,,暂无数据,,暂无数据,,,,,,,,,,,,,
华发城建四季半岛水晶湾,295,['香洲区'],,3室2厅1厨2卫,,中楼层(共33层),,96.81㎡,,平层,,暂无数据,,塔楼,,南,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
华策南湾国际,260,['香洲区'],,3室2厅1厨2卫,,高楼层(共33层),,91㎡,,平层,,暂无数据,,板塔结合,,西南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
怡丰阁,103,['香洲区'],,3室2厅1厨1卫,,高楼层(共8层),,94.23㎡,,平层,,暂无数据,,暂无数据,,东南,,钢混结构,,其他,,暂无数据,,暂无数据,,,,,,,,,,,,,
万威美地,69,['斗门区'],,2室2厅1厨1卫,,中楼层(共17层),,81.5㎡,,平层,,63.39㎡,,塔楼,,南,,钢混结构,,精装,,两梯八户,,有,,,,,,,,,,,,,
华发峰尚,73,['斗门区'],,3室2厅1厨1卫,,高楼层(共34层),,86.64㎡,,平层,,68.33㎡,,板楼,,南,,钢混结构,,毛坯,,两梯四户,,有,,,,,,,,,,,,,
华发四季半岛翡翠湾,205,['香洲区'],,2室2厅1厨1卫,,低楼层(共31层),,75.63㎡,,平层,,暂无数据,,塔楼,,南北,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
安宁路6号,92,['香洲区'],,2室2厅1厨1卫,,高楼层(共7层),,66.53㎡,,平层,,暂无数据,,塔楼,,南,,砖混结构,,精装,,暂无数据,,暂无数据,,,,,,,,,,,,,
华发琴澳新城·四季峰景,245,['香洲区'],,3室2厅1厨2卫,,中楼层(共33层),,89.19㎡,,平层,,暂无数据,,板楼,,东南,,钢混结构,,毛坯,,两梯六户,,有,,,,,,,,,,,,,
金莎公馆,66,['香洲区'],,1室0厅1厨1卫,,中楼层(共23层),,44.11㎡,,平层,,暂无数据,,塔楼,,南,,钢混结构,,简装,,三梯二十六户,,有,,,,,,,,,,,,,
海怡湾畔,158,['高新区'],,3室2厅1厨2卫,,中楼层(共5层),,97.73㎡,,平层,,86.3㎡,,板塔结合,,北,,钢混结构,,精装,,暂无数据,,无,,,,,,,,,,,,,
华策南湾国际,365,['香洲区'],,4室2厅1厨2卫,,高楼层(共31层),,133.38㎡,,平层,,108㎡,,塔楼,,南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
康和花园,215,['香洲区'],,3室2厅1厨2卫,,低楼层(共18层),,90.27㎡,,平层,,暂无数据,,板塔结合,,东南北,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
山海一品海岸花园,165,['金湾区'],,4室2厅1厨3卫,,高楼层(共30层),,135.75㎡,,复式,,暂无数据,,板楼,,东北,,框架结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
华发琴澳新城·四季峰景二期,218,['香洲区'],,3室2厅1厨1卫,,高楼层(共48层),,78.43㎡,,平层,,暂无数据,,塔楼,,东南,,钢混结构,,毛坯,,三梯六户,,有,,,,,,,,,,,,,
时代倾城二期,70,['斗门区'],,2室2厅1厨1卫,,低楼层(共34层),,79.61㎡,,平层,,暂无数据,,板塔结合,,南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
海逸豪庭,68,['斗门区'],,3室2厅1厨1卫,,中楼层(共29层),,98㎡,,平层,,暂无数据,,板塔结合,,北,,钢混结构,,其他,,两梯六户,,有,,,,,,,,,,,,,
华发新城三期,350,['香洲区'],,3室2厅1厨2卫,,低楼层(共26层),,137.4㎡,,平层,,109.2㎡,,板楼,,南,,钢混结构,,精装,,两梯三户,,有,,,,,,,,,,,,,
君兰庭,176,['香洲区'],,2室2厅1厨1卫,,中楼层(共11层),,80.48㎡,,平层,,80.48㎡,,板塔结合,,北,,钢混结构,,精装,,一梯四户,,有,,,,,,,,,,,,,
兰埔花园,265,['香洲区'],,4室2厅1厨2卫,,中楼层(共19层),,132.47㎡,,平层,,108.57㎡,,板楼,,南北,,钢混结构,,简装,,两梯三户,,有,,,,,,,,,,,,,
时代保利中环广场中区,265,['香洲区'],,3室2厅1厨2卫,,中楼层(共41层),,101.21㎡,,平层,,暂无数据,,塔楼,,南北,,钢混结构,,其他,,一梯十户,,有,,,,,,,,,,,,,
钰海上峰,210,['香洲区'],,2室2厅1厨1卫,,高楼层(共29层),,86.12㎡,,平层,,67.39㎡,,塔楼,,南,,钢混结构,,简装,,两梯四户,,有,,,,,,,,,,,,,
天庆晋海岸,89,['金湾区'],,3室2厅1厨1卫,,高楼层(共31层),,89.77㎡,,平层,,暂无数据,,板楼,,北,,框架结构,,毛坯,,三梯六户,,有,,,,,,,,,,,,,
格力香樟,225,['香洲区'],,2室2厅1厨1卫,,低楼层(共30层),,90.95㎡,,平层,,69.63㎡,,塔楼,,南北,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
桂花村一期,226,['香洲区'],,3室2厅1厨1卫,,中楼层(共25层),,106.69㎡,,平层,,89.02㎡,,板楼,,东东南南,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
万威森林园,121,['斗门区'],,4室2厅1厨2卫,,高楼层(共29层),,116.82㎡,,平层,,90.45㎡,,塔楼,,南北,,钢混结构,,简装,,两梯四户,,有,,,,,,,,,,,,,
万科城市中心,225,['香洲区'],,3室2厅1厨2卫,,低楼层(共34层),,89.35㎡,,平层,,73.83㎡,,板塔结合,,东南,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
听海居,218,['香洲区'],,3室2厅1厨2卫,,中楼层(共7层),,109.82㎡,,平层,,94.98㎡,,板楼,,南,,钢混结构,,简装,,暂无数据,,无,,,,,,,,,,,,,
金色九洲,408,['香洲区'],,4室2厅1厨3卫,,高楼层(共17层),,237.26㎡,,复式,,暂无数据,,塔楼,,南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
德昌盛景花园,98,['斗门区'],,3室2厅1厨1卫,,低楼层(共18层),,93.75㎡,,平层,,暂无数据,,板塔结合,,南北,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
华富街,128,['香洲区'],,3室2厅1厨1卫,,中楼层(共8层),,121.81㎡,,暂无数据,,107.42㎡,,塔楼,,西南,,框架结构,,简装,,暂无数据,,暂无数据,,,,,,,,,,,,,
华发峰尚,70,['斗门区'],,3室2厅1厨1卫,,中楼层(共34层),,87.13㎡,,平层,,暂无数据,,板塔结合,,东南,,钢混结构,,毛坯,,两梯四户,,有,,,,,,,,,,,,,
时代倾城双生花,90,['斗门区'],,3室2厅1厨2卫,,低楼层(共33层),,101.18㎡,,平层,,79.51㎡,,塔楼,,东南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
时代香海彼岸,106,['斗门区'],,3室2厅1厨2卫,,中楼层(共34层),,94.9㎡,,平层,,76.83㎡,,板塔结合,,南,,框架结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
家和城二期,155,['斗门区'],,4室2厅1厨2卫,,中楼层(共32层),,118.94㎡,,平层,,暂无数据,,板塔结合,,南,,钢混结构,,毛坯,,两梯三户,,有,,,,,,,,,,,,,
华发世纪城四期,210,['香洲区'],,3室2厅1厨1卫,,中楼层(共32层),,89.07㎡,,平层,,72.9㎡,,塔楼,,东北,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
棕榈假日,216,['香洲区'],,3室2厅1厨2卫,,低楼层(共12层),,137.14㎡,,平层,,暂无数据,,板塔结合,,东南,,钢混结构,,精装,,一梯四户,,有,,,,,,,,,,,,,
金地格林春晓二三期,88,['金湾区'],,3室2厅1厨1卫,,高楼层(共33层),,91.91㎡,,平层,,73.72㎡,,板塔结合,,南,,框架结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
华发新城六期,230,['香洲区'],,3室2厅1厨1卫,,高楼层(共32层),,87.01㎡,,平层,,69.52㎡,,板塔结合,,西南,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
棕榈假日,105,['香洲区'],,3室1厅1厨3卫,,高楼层(共6层),,72.17㎡,,平层,,暂无数据,,板塔结合,,南,,钢混结构,,简装,,暂无数据,,无,,,,,,,,,,,,,
万科城市中心,215,['香洲区'],,3室2厅1厨2卫,,低楼层(共41层),,92.21㎡,,平层,,暂无数据,,板塔结合,,东南南,,钢混结构,,精装,,三梯六户,,有,,,,,,,,,,,,,
华发蔚蓝堡三期,167,['高新区'],,3室2厅1厨1卫,,中楼层(共28层),,91.08㎡,,平层,,71.81㎡,,板塔结合,,西南,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
丽湖名居,72,['斗门区'],,3室2厅1厨2卫,,高楼层(共17层),,108㎡,,平层,,91.69㎡,,板楼,,东南,,钢混结构,,简装,,两梯四户,,有,,,,,,,,,,,,,
香洲区安居园,122.8,['香洲区'],,2室1厅1厨1卫,,中楼层(共8层),,70.07㎡,,平层,,65.04㎡,,板楼,,东北,,钢混结构,,简装,,暂无数据,,无,,,,,,,,,,,,,
翠湖香山别苑,265,['高新区'],,3室2厅1厨2卫,,低楼层(共6层),,102.18㎡,,平层,,86.79㎡,,板塔结合,,南,,砖木结构,,毛坯,,暂无数据,,暂无数据,,,,,,,,,,,,,
九洲假日,87,['香洲区'],,1室0厅1厨1卫,,高楼层(共25层),,38.85㎡,,平层,,30.62㎡,,塔楼,,南,,钢混结构,,精装,,两梯十六户,,有,,,,,,,,,,,,,
华发世纪城四期,335,['香洲区'],,4室2厅1厨2卫,,低楼层(共31层),,153.43㎡,,平层,,123.89㎡,,板塔结合,,东南,,钢混结构,,精装,,两梯三户,,有,,,,,,,,,,,,,
凤海新村,152,['香洲区'],,3室2厅2厨1卫,,中楼层(共8层),,95.5㎡,,平层,,90㎡,,板楼,,南,,混合结构,,简装,,暂无数据,,暂无数据,,,,,,,,,,,,,
龙城花园,168,['香洲区'],,3室2厅1厨1卫,,高楼层(共17层),,97.48㎡,,暂无数据,,暂无数据,,塔楼,,东南,,钢混结构,,简装,,两梯四户,,有,,,,,,,,,,,,,
远大美域新城,316,['高新区'],,4室2厅1厨2卫,,高楼层(共11层),,180.25㎡,,平层,,156.81㎡,,板楼,,南北,,钢混结构,,精装,,一梯两户,,有,,,,,,,,,,,,,
华发国际海岸·揽澳郡,318,['香洲区'],,4室2厅1厨2卫,,中楼层(共33层),,116.81㎡,,平层,,暂无数据,,塔楼,,南北,,钢混结构,,毛坯,,两梯四户,,有,,,,,,,,,,,,,
景晖路3号,165,['香洲区'],,3室2厅1厨1卫,,中楼层(共7层),,84.64㎡,,平层,,73.62㎡,,板楼,,北,,钢混结构,,精装,,暂无数据,,无,,,,,,,,,,,,,
恒大海泉湾,56,['金湾区'],,2室1厅1厨1卫,,中楼层(共19层),,82.04㎡,,平层,,60.37㎡,,暂无数据,,东南,,钢混结构,,精装,,暂无数据,,暂无数据,,,,,,,,,,,,,
华发四季半岛翡翠湾,198,['香洲区'],,2室2厅1厨1卫,,低楼层(共31层),,75.63㎡,,平层,,61.9㎡,,塔楼,,东南,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
春泽名园,223,['香洲区'],,3室2厅1厨2卫,,中楼层(共11层),,96.73㎡,,平层,,暂无数据,,板塔结合,,南,,钢混结构,,简装,,一梯四户,,有,,,,,,,,,,,,,
华发城建四季半岛·钻石湾,195,['香洲区'],,2室2厅1厨1卫,,高楼层(共29层),,75.73㎡,,平层,,61.9㎡,,塔楼,,东,,钢混结构,,毛坯,,两梯六户,,有,,,,,,,,,,,,,
益康花园,136,['香洲区'],,2室2厅1厨1卫,,中楼层(共7层),,77.43㎡,,平层,,暂无数据,,板楼,,南,,钢混结构,,简装,,暂无数据,,暂无数据,,,,,,,,,,,,,
万科金域缇香,217,['香洲区'],,3室2厅1厨1卫,,高楼层(共32层),,88.6㎡,,平层,,72.77㎡,,板楼,,南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
华发四季半岛翡翠湾,286,['香洲区'],,3室1厅1厨2卫,,低楼层(共31层),,97.84㎡,,平层,,80.08㎡,,塔楼,,东南,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
粤海国际花园,225,['香洲区'],,3室1厅1厨1卫,,中楼层(共11层),,82.03㎡,,平层,,暂无数据,,塔楼,,东南,,钢混结构,,简装,,两梯四户,,有,,,,,,,,,,,,,
华南名宇,140,['香洲区'],,2室2厅1厨1卫,,中楼层(共17层),,69.7㎡,,平层,,52.64㎡,,板塔结合,,东南,,钢混结构,,精装,,两梯二十一户,,有,,,,,,,,,,,,,
万科城市中心,225,['香洲区'],,3室2厅1厨2卫,,低楼层(共34层),,89.35㎡,,平层,,73.83㎡,,板塔结合,,东南,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
德昌盛景花园,98,['斗门区'],,3室2厅1厨1卫,,低楼层(共18层),,93.75㎡,,平层,,暂无数据,,板塔结合,,南北,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
珠海新世界海滨花园,88,['金湾区'],,3室2厅1厨2卫,,低楼层(共7层),,96.36㎡,,平层,,85.53㎡,,板塔结合,,南,,框架结构,,简装,,暂无数据,,无,,,,,,,,,,,,,
旭日海岸,175,['金湾区'],,3室2厅1厨2卫,,中楼层(共18层),,102.46㎡,,平层,,暂无数据,,塔楼,,东南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
高新宝龙城,229,['高新区'],,3室2厅1厨2卫,,中楼层(共32层),,108.73㎡,,平层,,暂无数据,,板楼,,南北,,钢混结构,,精装,,两梯两户,,有,,,,,,,,,,,,,
世纪名城一期,121,['金湾区'],,4室2厅1厨2卫,,低楼层(共11层),,134.19㎡,,平层,,111.81㎡,,板楼,,南,,框架结构,,精装,,一梯两户,,有,,,,,,,,,,,,,
北园新村二期,132,['香洲区'],,3室2厅1厨1卫,,中楼层(共8层),,85.42㎡,,平层,,暂无数据,,塔楼,,南,,钢混结构,,精装,,暂无数据,,无,,,,,,,,,,,,,
藤业富濠广场,78,['斗门区'],,3室2厅1厨1卫,,中楼层(共11层),,86.18㎡,,平层,,71.8㎡,,板楼,,南北,,钢混结构,,简装,,十八梯四户,,有,,,,,,,,,,,,,
万威森林园,121,['斗门区'],,4室2厅1厨2卫,,高楼层(共29层),,116.82㎡,,平层,,90.45㎡,,塔楼,,南北,,钢混结构,,简装,,两梯四户,,有,,,,,,,,,,,,,
珠宾花园,610,['香洲区'],,4室2厅1厨3卫,,低楼层(共25层),,161.5㎡,,平层,,暂无数据,,塔楼,,南北,,钢混结构,,精装,,两梯两户,,有,,,,,,,,,,,,,
嘉年华国际公寓,60.5,['香洲区'],,1室0厅1厨1卫,,中楼层(共29层),,37.64㎡,,平层,,24.87㎡,,板塔结合,,北,,钢混结构,,简装,,四梯三十五户,,有,,,,,,,,,,,,,
中珠上品,60,['金湾区'],,2室2厅1厨1卫,,中楼层(共17层),,49.78㎡,,平层,,39㎡,,板楼,,东,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
世纪名城一期,80,['金湾区'],,2室1厅1厨1卫,,中楼层(共11层),,81.15㎡,,平层,,暂无数据,,板楼,,东南,,框架结构,,精装,,一梯三户,,有,,,,,,,,,,,,,
中信红树湾南区,498,['香洲区'],,3室2厅1厨2卫,,低楼层(共31层),,151.33㎡,,平层,,107.85㎡,,板楼,,东南,,钢混结构,,精装,,两梯两户,,有,,,,,,,,,,,,,
中珠上郡二三期,67,['金湾区'],,2室1厅1厨1卫,,低楼层(共23层),,71.21㎡,,平层,,55.81㎡,,板塔结合,,东南,,框架结构,,毛坯,,两梯五户,,有,,,,,,,,,,,,,
龙洲湾花园,225,['香洲区'],,3室2厅1厨2卫,,低楼层(共6层),,100.05㎡,,平层,,89.93㎡,,平房,,西南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
鸿馨园,242,['香洲区'],,3室2厅1厨2卫,,中楼层(共11层),,110.46㎡,,平层,,暂无数据,,板楼,,北,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
时代倾城二期,70,['斗门区'],,2室2厅1厨1卫,,低楼层(共34层),,79.61㎡,,平层,,暂无数据,,板塔结合,,南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
九洲假日,87,['香洲区'],,1室0厅1厨1卫,,高楼层(共25层),,38.85㎡,,平层,,30.62㎡,,塔楼,,南,,钢混结构,,精装,,两梯十六户,,有,,,,,,,,,,,,,
南苑,70,['香洲区'],,1室1厅1厨1卫,,低楼层(共7层),,39.2㎡,,平层,,33.9㎡,,板楼,,北,,钢混结构,,其他,,暂无数据,,无,,,,,,,,,,,,,
万科红树东岸,303,['高新区'],,4室2厅1厨2卫,,中楼层(共28层),,129.65㎡,,平层,,102㎡,,板楼,,南北,,钢混结构,,精装,,暂无数据,,暂无数据,,,,,,,,,,,,,
山水华庭,228,['香洲区'],,3室2厅1厨2卫,,中楼层(共11层),,92.42㎡,,平层,,暂无数据,,板楼,,东,,钢混结构,,精装,,一梯四户,,有,,,,,,,,,,,,,
中珠上品,60,['金湾区'],,2室2厅1厨1卫,,中楼层(共17层),,49.78㎡,,平层,,39㎡,,板楼,,东,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
华发城建四季半岛·钻石湾,195,['香洲区'],,2室2厅1厨1卫,,高楼层(共29层),,75.73㎡,,平层,,61.9㎡,,塔楼,,东,,钢混结构,,毛坯,,两梯六户,,有,,,,,,,,,,,,,
嘉年华国际公寓,60.5,['香洲区'],,1室0厅1厨1卫,,中楼层(共29层),,37.64㎡,,平层,,24.87㎡,,板塔结合,,北,,钢混结构,,简装,,四梯三十五户,,有,,,,,,,,,,,,,
华发水岸一期,110,['香洲区'],,2室2厅1厨1卫,,中楼层(共18层),,74.4㎡,,平层,,暂无数据,,塔楼,,南,,钢混结构,,毛坯,,两梯三户,,有,,,,,,,,,,,,,
珠宾花园,610,['香洲区'],,4室2厅1厨3卫,,低楼层(共25层),,161.5㎡,,平层,,暂无数据,,塔楼,,南北,,钢混结构,,精装,,两梯两户,,有,,,,,,,,,,,,,
安居园南区,175,['香洲区'],,3室2厅1厨1卫,,中楼层(共7层),,87.62㎡,,平层,,暂无数据,,板楼,,南,,钢混结构,,简装,,暂无数据,,无,,,,,,,,,,,,,
格力海岸,329,['高新区'],,3室2厅1厨2卫,,高楼层(共32层),,141.31㎡,,平层,,暂无数据,,板塔结合,,北,,钢混结构,,精装,,四梯七户,,有,,,,,,,,,,,,,
高新宝龙城,229,['高新区'],,3室2厅1厨2卫,,中楼层(共32层),,108.73㎡,,平层,,暂无数据,,板楼,,南北,,钢混结构,,精装,,两梯两户,,有,,,,,,,,,,,,,
华发四季半岛翡翠湾,198,['香洲区'],,2室2厅1厨1卫,,低楼层(共31层),,75.63㎡,,平层,,61.9㎡,,塔楼,,东南,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
藤景苑,17,['斗门区'],,1室1厅1厨1卫,,高楼层(共7层),,39.49㎡,,平层,,暂无数据,,板塔结合,,西南,,钢混结构,,简装,,暂无数据,,无,,,,,,,,,,,,,
美湖湾,120,['斗门区'],,3室2厅1厨2卫,,高楼层(共28层),,89.35㎡,,平层,,67.39㎡,,板塔结合,,东南南西南,,钢混结构,,其他,,两梯四户,,有,,,,,,,,,,,,,
佳兆业御金山,55,['斗门区'],,3室2厅1厨1卫,,中楼层(共7层),,87.65㎡,,平层,,73.3㎡,,板塔结合,,南,,钢混结构,,毛坯,,暂无数据,,暂无数据,,,,,,,,,,,,,
世荣名筑,100,['斗门区'],,3室2厅1厨2卫,,低楼层(共16层),,116.5㎡,,平层,,暂无数据,,板楼,,南,,框架结构,,精装,,两梯三户,,有,,,,,,,,,,,,,
华发山庄,515,['香洲区'],,4室2厅1厨2卫,,中楼层(共12层),,167.44㎡,,平层,,暂无数据,,塔楼,,东南,,钢混结构,,精装,,一梯两户,,有,,,,,,,,,,,,,
鸿馨园,355,['香洲区'],,3室2厅1厨2卫,,中楼层(共11层),,127.8㎡,,平层,,暂无数据,,板塔结合,,南北,,钢混结构,,精装,,两梯两户,,有,,,,,,,,,,,,,
招商花园城二期,269,['香洲区'],,3室2厅1厨1卫,,高楼层(共26层),,87.37㎡,,平层,,67.06㎡,,塔楼,,南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
粤海国际花园,255,['香洲区'],,3室2厅1厨2卫,,中楼层(共11层),,101.85㎡,,平层,,89.01㎡,,板楼,,东南,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
春晓悦居,77,['斗门区'],,3室1厅1厨1卫,,高楼层(共17层),,102.45㎡,,平层,,80.41㎡,,暂无数据,,东南,,未知结构,,其他,,两梯两户,,有,,,,,,,,,,,,,
骏发山庄,212,['香洲区'],,3室2厅1厨2卫,,低楼层(共31层),,124.74㎡,,平层,,暂无数据,,暂无数据,,西南,,钢混结构,,精装,,三梯六户,,有,,,,,,,,,,,,,
华发新城四期,195,['香洲区'],,2室2厅1厨1卫,,中楼层(共18层),,85.81㎡,,平层,,69.58㎡,,塔楼,,东,,钢混结构,,精装,,两梯六户,,有,,,,,,,,,,,,,
宝地康泰,120,['香洲区'],,2室1厅1厨2卫,,高楼层(共16层),,48.53㎡,,平层,,暂无数据,,塔楼,,西南,,钢混结构,,精装,,两梯七户,,有,,,,,,,,,,,,,
时代山湖海,215,['金湾区'],,3室2厅1厨2卫,,中楼层(共33层),,125.31㎡,,平层,,暂无数据,,板塔结合,,南北,,钢混结构,,精装,,两梯四户,,有,,,,,,,,,,,,,
